ds,y
7/19/2018,97
7/19/2018,103
7/20/2018,54
7/20/2018,32
7/21/2018,44
7/21/2018,54
7/23/2018,94
7/23/2018,87
7/24/2018,66
7/24/2018,50
7/26/2018,90
7/26/2018,67
7/27/2018,36
7/27/2018,41
7/28/2018,69
7/28/2018,43
7/30/2018,106
7/30/2018,66
7/31/2018,69
7/31/2018,43
8/2/2018,56
8/2/2018,48
8/3/2018,55
8/3/2018,47
8/4/2018,40
8/4/2018,42
8/6/2018,68
8/6/2018,41
8/7/2018,107
8/7/2018,51
8/9/2018,115
8/9/2018,39
8/10/2018,64
8/10/2018,64
8/11/2018,61
8/11/2018,15
8/13/2018,148
8/13/2018,70
8/16/2018,56
8/16/2018,67
8/17/2018,56
8/17/2018,33
8/18/2018,66
8/18/2018,28
8/20/2018,52
8/20/2018,36
8/21/2018,84
8/21/2018,44
8/23/2018,79
8/23/2018,28
8/24/2018,54
8/24/2018,33
8/25/2018,51
8/25/2018,16
8/27/2018,42
8/27/2018,57
8/28/2018,60
8/28/2018,48
8/30/2018,66
8/30/2018,37
8/31/2018,61
8/31/2018,39
9/1/2018,46
9/1/2018,24
9/1/2018,0
9/3/2018,60
9/3/2018,62
9/3/2018,0
9/4/2018,70
9/4/2018,56
9/4/2018,0
9/6/2018,105
9/6/2018,51
9/6/2018,0
9/7/2018,42
9/7/2018,52
9/7/2018,0
9/8/2018,84
9/8/2018,43
9/8/2018,0
9/10/2018,80
9/10/2018,48
9/10/2018,0
9/11/2018,90
9/11/2018,69
9/11/2018,0
9/13/2018,81
9/13/2018,82
9/13/2018,2
9/14/2018,55
9/14/2018,70
9/14/2018,0
9/15/2018,79
9/15/2018,52
9/15/2018,0
9/17/2018,135
9/17/2018,24
9/17/2018,0
9/18/2018,84
9/18/2018,102
9/18/2018,0
9/20/2018,88
9/20/2018,80
9/20/2018,0
9/21/2018,108
9/21/2018,62
9/21/2018,0
9/22/2018,61
9/22/2018,105
9/22/2018,0
9/24/2018,208
9/24/2018,81
9/24/2018,0
9/25/2018,148
9/25/2018,96
9/25/2018,0
9/28/2018,126
9/28/2018,166
9/28/2018,0
9/29/2018,85
9/29/2018,71
9/29/2018,0
10/1/2018,126
10/1/2018,73
10/2/2018,124
10/2/2018,74
10/4/2018,153
10/4/2018,80
10/5/2018,97
10/5/2018,64
10/6/2018,44
10/6/2018,69
10/8/2018,179
10/8/2018,68
10/9/2018,120
10/9/2018,66
10/11/2018,102
10/11/2018,75
10/12/2018,99
10/12/2018,44
10/13/2018,83
10/13/2018,33
10/15/2018,122
10/15/2018,69
10/16/2018,98
10/16/2018,66
10/18/2018,110
10/18/2018,20
10/19/2018,77
10/19/2018,26
10/20/2018,51
10/20/2018,48
10/22/2018,70
10/22/2018,58
10/23/2018,112
10/23/2018,42
10/25/2018,94
10/25/2018,46
10/26/2018,55
10/26/2018,34
10/27/2018,49
10/27/2018,15
10/29/2018,88
10/29/2018,53
10/30/2018,43
10/30/2018,45
11/3/2018,98
11/5/2018,81
11/6/2018,63
11/8/2018,46
11/9/2018,0
11/10/2018,49
11/12/2018,47
11/13/2018,42
11/15/2018,32
11/16/2018,42
11/17/2018,34
11/19/2018,83
11/20/2018,73
11/22/2018,61
11/23/2018,66
11/24/2018,26
11/26/2018,36
11/27/2018,25
11/29/2018,31
11/30/2018,24
12/1/2018,23
12/3/2018,32
12/4/2018,27
12/6/2018,45
12/7/2018,28
12/10/2018,16
12/11/2018,12
12/13/2018,15
12/14/2018,11
12/15/2018,13
12/17/2018,20
12/18/2018,45
12/20/2018,28
12/21/2018,14
12/22/2018,16
12/24/2018,149
12/27/2018,99
12/28/2018,80
12/29/2018,50
12/31/2018,110
1/3/2019,61
1/4/2019,33
1/5/2019,26
1/7/2019,27
1/8/2019,12
1/10/2019,20
1/11/2019,25
1/12/2019,14
1/14/2019,10
1/15/2019,21
1/17/2019,7
1/18/2019,17
1/19/2019,15
1/21/2019,6
1/22/2019,22
1/24/2019,10
1/25/2019,1
1/26/2019,16
1/28/2019,12
1/29/2019,5
1/31/2019,4
2/1/2019,4
2/2/2019,14
2/4/2019,8
2/5/2019,7
2/7/2019,26
2/8/2019,11
2/9/2019,35
2/12/2019,33
2/14/2019,19
2/15/2019,22
2/16/2019,43
2/18/2019,57
2/19/2019,17
2/21/2019,39
2/23/2019,28
2/25/2019,22
2/26/2019,23
2/28/2019,17
3/1/2019,8
3/1/2019,12
3/2/2019,6
3/2/2019,14
3/4/2019,32
3/4/2019,14
3/5/2019,39
3/5/2019,14
3/7/2019,32
3/7/2019,14
3/8/2019,36
3/8/2019,28
3/9/2019,22
3/9/2019,28
3/11/2019,55
3/11/2019,24
3/12/2019,32
3/12/2019,24
3/13/2019,4
3/14/2019,61
3/14/2019,8
3/15/2019,37
3/15/2019,15
3/16/2019,42
3/16/2019,14
3/18/2019,102
3/18/2019,29
3/21/2019,60
3/21/2019,28
3/22/2019,52
3/22/2019,15
3/23/2019,28
3/23/2019,40
3/25/2019,56
3/25/2019,15
3/26/2019,72
3/26/2019,27
3/28/2019,63
3/28/2019,14
3/29/2019,25
3/29/2019,12
3/30/2019,45
3/30/2019,11
4/1/2019,51
4/1/2019,28
4/2/2019,60
4/2/2019,12
4/4/2019,56
4/4/2019,28
4/4/2019,4
4/5/2019,71
4/5/2019,23
4/6/2019,89
4/6/2019,28
4/8/2019,117
4/8/2019,27
4/9/2019,0
4/9/2019,0
4/11/2019,82
4/11/2019,14
4/12/2019,74
4/12/2019,28
4/13/2019,63
4/13/2019,27
4/15/2019,149
