ds,y
2/5/2016,4
2/6/2016,0
2/8/2016,9
2/9/2016,12
2/12/2016,8
2/13/2016,11
2/15/2016,24
2/16/2016,23
2/18/2016,24
2/19/2016,24
2/23/2016,17
2/23/2016,4
2/23/2016,6
2/25/2016,11
2/25/2016,0
2/26/2016,11
2/27/2016,13
2/29/2016,11
3/1/2016,6
3/1/2016,9
3/3/2016,4
3/4/2016,12
3/5/2016,10
3/5/2016,6
3/7/2016,10
3/8/2016,19
3/8/2016,7
3/10/2016,17
3/11/2016,14
3/12/2016,18
3/12/2016,10
3/14/2016,23
3/14/2016,2
3/15/2016,29
3/15/2016,7
3/17/2016,53
3/21/2016,70
3/22/2016,24
3/22/2016,2
3/22/2016,25
3/24/2016,36
3/25/2016,60
3/25/2016,12
3/26/2016,23
3/26/2016,23
3/29/2016,77
3/29/2016,23
3/31/2016,60
3/31/2016,2
4/1/2016,24
4/1/2016,2
4/2/2016,23
4/2/2016,0
4/2/2016,6
4/4/2016,71
4/5/2016,27
4/5/2016,4
4/7/2016,83
4/7/2016,12
4/8/2016,45
4/8/2016,17
4/9/2016,48
4/11/2016,45
4/12/2016,65
4/12/2016,5
4/14/2016,42
4/14/2016,15
4/15/2016,47
4/16/2016,69
4/18/2016,71
4/19/2016,57
4/19/2016,27
4/21/2016,41
4/21/2016,11
4/22/2016,67
4/23/2016,35
4/25/2016,93
4/26/2016,32
4/26/2016,19
4/28/2016,45
4/28/2016,8
4/29/2016,49
4/30/2016,54
5/2/2016,71
5/3/2016,53
5/3/2016,11
5/5/2016,60
5/5/2016,11
5/6/2016,82
5/7/2016,45
5/9/2016,91
5/10/2016,66
5/10/2016,2
5/10/2016,0
5/10/2016,8
5/12/2016,68
5/12/2016,18
5/13/2016,72
5/13/2016,12
5/14/2016,77
5/16/2016,83
5/16/2016,2
5/16/2016,3
5/17/2016,107
5/17/2016,20
5/19/2016,90
5/19/2016,12
5/20/2016,72
5/21/2016,61
5/23/2016,106
5/24/2016,84
5/24/2016,2
5/24/2016,2
5/24/2016,32
5/26/2016,77
5/26/2016,34
5/26/2016,18
5/27/2016,73
5/28/2016,83
5/28/2016,4
5/30/2016,106
5/30/2016,2
5/30/2016,4
5/31/2016,78
5/31/2016,5
6/2/2016,96
6/2/2016,16
6/2/2016,3
6/3/2016,84
6/4/2016,119
6/6/2016,140
6/7/2016,86
6/7/2016,6
6/7/2016,16
6/9/2016,95
6/9/2016,4
6/10/2016,81
6/11/2016,74
6/13/2016,98
6/14/2016,84
6/14/2016,10
6/14/2016,23
6/16/2016,114
6/16/2016,0
6/16/2016,7
6/16/2016,12
6/17/2016,106
6/17/2016,7
6/17/2016,12
6/18/2016,95
6/20/2016,120
6/20/2016,3
6/21/2016,106
6/21/2016,13
6/23/2016,123
6/23/2016,10
6/24/2016,107
6/24/2016,22
6/25/2016,114
6/27/2016,99
6/27/2016,5
6/27/2016,2
6/28/2016,108
6/28/2016,22
6/30/2016,118
7/1/2016,83
7/1/2016,4
7/2/2016,59
7/4/2016,153
7/5/2016,107
7/5/2016,12
7/7/2016,132
7/7/2016,25
7/8/2016,68
7/9/2016,93
7/11/2016,84
7/12/2016,84
7/12/2016,24
7/14/2016,96
7/14/2016,14
7/14/2016,17
7/15/2016,119
7/16/2016,85
7/18/2016,91
7/19/2016,41
7/19/2016,10
7/21/2016,92
7/21/2016,10
7/22/2016,71
7/23/2016,40
7/25/2016,58
7/26/2016,85
7/26/2016,0
7/28/2016,65
7/28/2016,4
7/28/2016,0
7/29/2016,52
7/30/2016,58
8/1/2016,46
8/2/2016,61
8/2/2016,20
8/4/2016,65
8/4/2016,7
8/4/2016,5
8/4/2016,20
8/5/2016,63
8/6/2016,27
8/6/2016,7
8/8/2016,91
8/8/2016,6
8/9/2016,65
8/9/2016,18
8/11/2016,49
8/11/2016,13
8/12/2016,36
8/13/2016,68
8/16/2016,78
8/16/2016,7
8/18/2016,46
8/18/2016,21
8/19/2016,33
8/19/2016,2
8/20/2016,33
8/22/2016,59
8/23/2016,29
8/23/2016,2
8/25/2016,26
8/25/2016,4
8/26/2016,42
8/27/2016,50
8/27/2016,0
8/29/2016,58
8/30/2016,63
8/30/2016,0
8/30/2016,0
9/1/2016,44
9/1/2016,9
9/2/2016,62
9/3/2016,38
9/5/2016,81
9/6/2016,84
9/6/2016,7
9/6/2016,18
9/8/2016,81
9/8/2016,23
9/9/2016,68
9/10/2016,36
9/12/2016,106
9/13/2016,84
9/13/2016,6
9/15/2016,70
9/15/2016,17
9/16/2016,106
9/16/2016,5
9/16/2016,0
9/17/2016,109
9/19/2016,133
9/20/2016,99
9/20/2016,15
9/22/2016,89
9/22/2016,0
9/22/2016,19
9/23/2016,83
9/24/2016,88
9/26/2016,120
9/27/2016,84
9/27/2016,18
9/29/2016,114
9/29/2016,16
9/30/2016,54
10/1/2016,66
10/3/2016,119
10/4/2016,77
10/6/2016,81
10/7/2016,83
10/8/2016,72
10/10/2016,94
10/10/2016,8
10/10/2016,4
10/11/2016,86
10/13/2016,83
10/13/2016,3
10/14/2016,55
10/15/2016,55
10/15/2016,0
10/15/2016,4
10/17/2016,79
10/18/2016,45
10/20/2016,96
10/21/2016,57
10/22/2016,50
10/24/2016,60
10/25/2016,71
10/27/2016,34
10/28/2016,25
10/29/2016,35
10/31/2016,47
11/3/2016,53
11/4/2016,0
11/5/2016,35
11/7/2016,23
11/8/2016,21
11/10/2016,40
11/11/2016,23
11/12/2016,12
11/14/2016,25
11/15/2016,19
11/17/2016,23
11/18/2016,13
11/19/2016,23
11/21/2016,32
11/22/2016,33
11/24/2016,24
11/25/2016,19
11/26/2016,17
11/26/2016,5
11/28/2016,24
11/29/2016,5
12/1/2016,10
12/2/2016,7
12/3/2016,12
12/5/2016,9
12/6/2016,31
12/9/2016,12
12/10/2016,8
12/12/2016,10
12/13/2016,6
12/15/2016,10
12/16/2016,9
12/17/2016,18
12/19/2016,44
12/20/2016,0
12/22/2016,26
12/22/2016,2
12/23/2016,19
12/24/2016,48
12/24/2016,3
12/27/2016,83
12/29/2016,85
12/30/2016,51
12/31/2016,36
1/2/2017,24
1/2/2017,4
1/3/2017,33
1/5/2017,29
1/5/2017,4
1/7/2017,26
1/9/2017,0
1/10/2017,17
1/12/2017,8
1/13/2017,6
1/14/2017,15
1/16/2017,16
1/17/2017,2
1/19/2017,19
1/20/2017,6
1/21/2017,11
1/23/2017,20
1/24/2017,4
1/26/2017,4
1/27/2017,5
1/28/2017,17
1/30/2017,2
1/31/2017,4
2/2/2017,9
2/3/2017,4
2/4/2017,14
2/6/2017,9
2/7/2017,7
2/9/2017,24
2/10/2017,18
2/13/2017,45
2/14/2017,24
2/16/2017,12
2/17/2017,22
2/18/2017,14
2/20/2017,17
2/21/2017,25
2/23/2017,19
2/24/2017,30
2/25/2017,10
2/27/2017,12
2/28/2017,14
3/2/2017,20
3/3/2017,17
3/4/2017,23
3/6/2017,41
3/7/2017,38
3/9/2017,17
3/10/2017,35
3/11/2017,19
3/13/2017,71
3/14/2017,45
3/16/2017,46
3/17/2017,9
3/18/2017,31
3/20/2017,76
3/21/2017,65
3/23/2017,55
3/24/2017,45
3/25/2017,42
3/27/2017,55
3/28/2017,59
3/30/2017,58
3/31/2017,57
4/1/2017,52
4/3/2017,79
4/4/2017,68
4/6/2017,94
4/7/2017,0
4/7/2017,0
4/8/2017,72
4/10/2017,95
4/10/2017,4
4/11/2017,95
4/13/2017,76
4/14/2017,97
4/15/2017,105
4/18/2017,94
4/18/2017,3
4/20/2017,70
4/20/2017,15
4/20/2017,2
4/21/2017,67
4/22/2017,69
4/24/2017,99
4/24/2017,3
4/25/2017,78
4/27/2017,100
4/27/2017,2
4/28/2017,78
4/29/2017,71
5/2/2017,153
5/2/2017,2
5/2/2017,4
5/4/2017,118
5/4/2017,6
5/4/2017,8
5/5/2017,102
5/5/2017,6
5/6/2017,62
5/8/2017,119
5/9/2017,129
5/11/2017,136
5/11/2017,11
5/12/2017,131
5/12/2017,0
5/13/2017,99
5/13/2017,2
5/15/2017,113
5/16/2017,155
5/16/2017,4
5/18/2017,159
5/18/2017,3
5/18/2017,24
5/19/2017,126
5/20/2017,102
5/20/2017,2
5/22/2017,144
5/22/2017,2
5/23/2017,144
5/23/2017,4
5/25/2017,144
5/25/2017,2
5/26/2017,103
5/26/2017,3
5/26/2017,2
5/27/2017,89
5/27/2017,4
5/27/2017,3
5/29/2017,135
5/30/2017,158
5/30/2017,4
5/30/2017,4
5/30/2017,24
6/1/2017,124
6/1/2017,15
6/2/2017,98
6/3/2017,77
6/3/2017,0
6/5/2017,154
6/5/2017,43
6/6/2017,152
6/6/2017,34
6/8/2017,140
6/8/2017,13
6/9/2017,97
6/10/2017,76
6/12/2017,128
6/12/2017,2
6/13/2017,150
6/13/2017,5
6/13/2017,13
6/15/2017,128
6/15/2017,3
6/16/2017,138
6/17/2017,138
6/17/2017,23
6/19/2017,108
6/19/2017,16
6/19/2017,39
6/20/2017,152
6/20/2017,22
6/22/2017,157
6/22/2017,12
6/23/2017,129
6/23/2017,36
6/24/2017,98
6/24/2017,4
6/24/2017,15
6/26/2017,88
6/27/2017,158
6/27/2017,48
6/30/2017,163
6/30/2017,0
6/30/2017,49
7/1/2017,60
7/3/2017,74
7/3/2017,0
7/4/2017,136
7/4/2017,39
7/5/2017,54
7/6/2017,153
7/6/2017,22
7/7/2017,109
7/8/2017,73
