"ds","y"
"2015-08-11 07:35:00","73"
"2015-08-13 07:35:00","59"
"2015-08-14 07:35:00","72"
"2015-08-17 07:35:00","34"
"2015-08-18 07:35:00","48"
"2015-08-20 07:35:00","60"
"2015-08-21 07:35:00","59"
"2015-08-22 07:35:00","35"
"2015-08-22 07:35:00","3"
"2015-08-24 07:35:00","47"
"2015-08-25 07:35:00","50"
"2015-08-27 07:35:00","44"
"2015-08-28 07:35:00","51"
"2015-08-29 07:35:00","47"
"2015-08-31 07:35:00","58"
"2015-08-31 07:35:00","2"
"2015-09-01 07:35:00","44"
"2015-09-03 07:35:00","48"
"2015-09-04 07:35:00","58"
"2015-09-05 07:35:00","48"
"2015-09-07 07:35:00","95"
"2015-09-08 07:35:00","95"
"2015-09-10 07:35:00","105"
"2015-09-11 07:35:00","71"
"2015-09-12 07:35:00","48"
"2015-09-12 07:35:00","8"
"2015-09-14 07:35:00","84"
"2015-09-15 07:35:00","81"
"2015-09-15 07:35:00","2"
"2015-09-17 07:35:00","108"
"2015-09-17 07:35:00","4"
"2015-09-17 07:35:00","2"
"2015-09-18 07:35:00","84"
"2015-09-19 07:35:00","81"
"2015-09-21 07:35:00","39"
"2015-09-21 07:35:00","2"
"2015-09-21 07:35:00","9"
"2015-09-22 07:35:00","134"
"2015-09-24 07:35:00","86"
"2015-09-24 07:35:00","2"
"2015-09-25 07:35:00","71"
"2015-09-25 07:35:00","8"
"2015-09-26 07:35:00","59"
"2015-09-26 07:35:00","2"
"2015-09-28 07:35:00","64"
"2015-09-29 07:35:00","129"
"2015-10-01 07:35:00","83"
"2015-10-02 07:35:00","67"
"2015-10-02 08:30:00","18"
"2015-10-03 07:35:00","70"
"2015-10-03 08:30:00","11"
"2015-10-05 07:35:00","95"
"2015-10-06 07:35:00","84"
"2015-10-06 07:35:00","30"
"2015-10-08 07:35:00","71"
"2015-10-08 07:35:00","2"
"2015-10-08 08:30:00","12"
"2015-10-09 07:35:00","81"
"2015-10-10 07:35:00","53"
"2015-10-10 07:35:00","7"
"2015-10-12 07:35:00","92"
"2015-10-13 07:35:00","60"
"2015-10-13 07:35:00","2"
"2015-10-15 07:35:00","84"
"2015-10-16 07:35:00","45"
"2015-10-16 07:35:00","2"
"2015-10-16 08:30:00","20"
"2015-10-17 07:35:00","71"
"2015-10-19 07:35:00","72"
"2015-10-20 07:35:00","69"
"2015-10-22 07:35:00","46"
"2015-10-23 07:35:00","47"
"2015-10-23 07:35:00","2"
"2015-10-23 08:30:00","17"
"2015-10-24 07:35:00","44"
"2015-10-24 07:35:00","3"
"2015-10-26 07:35:00","47"
"2015-10-27 07:35:00","31"
"2015-10-27 07:35:00","9"
"2015-10-27 08:30:00","9"
"2015-10-29 07:35:00","36"
"2015-10-29 07:35:00","2"
"2015-10-29 07:35:00","13"
"2015-10-30 07:35:00","44"
"2015-10-31 07:35:00","7"
"2015-11-02 07:35:00","54"
"2015-11-03 07:35:00","20"
"2015-11-05 07:35:00","22"
"2015-11-05 07:35:00","7"
"2015-11-07 07:35:00","23"
"2015-11-09 07:35:00","24"
"2015-11-10 07:35:00","9"
"2015-11-12 07:35:00","32"
"2015-11-13 07:35:00","6"
"2015-11-14 07:35:00","10"
"2015-11-16 07:35:00","20"
"2015-11-17 07:35:00","11"
"2015-11-19 07:35:00","10"
"2015-11-20 07:35:00","13"
"2015-11-21 07:35:00","15"
"2015-11-23 07:35:00","23"
